Date,Close,Volume,Open,High,Low
02/22/2021,$46.00,19476020,$46.69,$48.51,$42.4
02/19/2021,$40.59,14828240,$41.28,$43.89,$38.5
02/18/2021,$40.69,23990560,$48.49,$48.87,$40.65
02/17/2021,$45.94,9260795,$49.77,$51.19,$44.56
02/16/2021,$49.51,8175030,$52.66,$53.5,$49.04
02/12/2021,$52.4,14573260,$50.75,$55.24,$48.05
02/11/2021,$51.1,13056730,$50.01,$55.32,$48.2201
02/10/2021,$51.2,36455040,$50.77,$62.83,$46.55
02/09/2021,$50.31,26843080,$56.61,$57,$46.52
02/08/2021,$60.00,25687280,$72.41,$72.66,$58.02
02/05/2021,$63.77,81345010,$54.04,$95,$51.09
02/04/2021,$53.5,62427280,$91.19,$91.5,$53.33
02/03/2021,$92.41,42698510,$112.01,$113.3999,$85.25
02/02/2021,$90.00,78183070,$140.76,$158,$74.2201
02/01/2021,$225,37382150,$316.56,$322,$212
01/29/2021,$325,50566060,$379.71,$413.98,$250
01/28/2021,$193.6,58815810,$265,$483,$112.25
01/27/2021,$347.51,93396670,$354.83,$380,$249
01/26/2021,$147.98,178588000,$88.56,$150,$80.2
01/25/2021,$76.79,177874000,$96.73,$159.18,$61.13
